"n_meigaraid","s_meigaraname","n_sijyou_kbn","n_gyousyu_bunrui_kbn","n_tangen_kabusuu","n_nikkei_saiyou_flg"
1301,"(株)極洋",0,0,100,0
1332,"日本水産(株)",0,0,100,1
1333,"マルハニチロ(株)",0,0,100,1
1352,"(株)ホウスイ",0,0,100,0
1376,"カネコ種苗(株)",0,0,100,0
1377,"(株)サカタのタネ",0,0,100,0
1379,"ホクト(株)",0,0,100,0
1380,"(株)秋川牧園",0,0,100,0
1381,"(株)アクシーズ",0,0,100,0
1382,"(株)ホーブ",0,0,100,0
1383,"ベルグアース(株)",0,0,100,0
1384,"(株)ホクリヨウ",0,0,100,0
1400,"ルーデン・ホールディングス(株)",0,0,100,0
1401,"(株)エムビーエス",0,0,100,0
1407,"(株)ウエストホールディングス",0,0,100,0
1413,"(株)ヒノキヤグループ",0,0,100,0
1414,"ショーボンドホールディングス(株)",0,0,100,0
1417,"(株)ミライト・ホールディングス",0,0,100,0
1418,"インターライフホールディングス(株)",0,0,100,0
1419,"タマホーム(株)",0,0,100,0
1420,"サンヨーホームズ(株)",0,0,100,0
1429,"(株)日本アクア",0,0,100,0
1430,"ファーストコーポレーション(株)",0,0,100,0
1431,"(株)Ｌｉｂ　Ｗｏｒｋ",0,0,100,0
1433,"ベステラ(株)",0,0,100,0
1434,"ＪＥＳＣＯホールディングス(株)",0,0,100,0
1435,"(株)ＴＡＴＥＲＵ",0,0,100,0
1436,"(株)フィット",0,0,100,0
1438,"(株)岐阜造園",0,0,100,0
1439,"(株)安江工務店",0,0,100,0
1443,"技研ホールディングス(株)",0,0,100,0
1444,"(株)ニッソウ",0,0,100,0
1446,"(株)キャンディル",0,0,100,0
1447,"ＩＴｂｏｏｋホールディングス(株)",0,0,100,0
1448,"(株)スペースバリューホールディングス",0,0,100,0
1449,"(株)ＦＵＪＩジャパン",0,0,100,0
1450,"田中建設工業(株)",0,0,100,0
1451,"(株)ＫＨＣ",0,0,100,0
1491,"中外鉱業(株)",0,0,100,0
1514,"住石ホールディングス(株)",0,0,100,0
1515,"日鉄鉱業(株)",0,0,100,0
1518,"三井松島ホールディングス(株)",0,0,100,0
1605,"国際石油開発帝石(株)",0,0,100,1
1662,"石油資源開発(株)",0,0,100,0
1663,"Ｋ＆Ｏエナジーグループ(株)",0,0,100,0
1711,"(株)省電舎ホールディングス",0,0,100,0
1712,"(株)ダイセキ環境ソリューション",0,0,100,0
1716,"第一カッター興業(株)",0,0,100,0
