"n_meigaraid","s_dataymd","n_pts_kbn","d_hazimarine","d_takane","d_yasune","d_owarine","n_dekitakasuu","n_yauzyou_cnt","d_jikasougaku","d_owarine_before_zoukaritu","d_owarine_before_zoukagk","n_neugokikbn","n_stop_torihiki_kbn","d_pts_owarine_zoukaritu","d_pts_owarine_zoukagk"
1301,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1332,"20200728",2,459.7,459.7,455,456.3,800,0,0,0,0,2,0,0.988,-5.7
1333,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1352,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1376,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1377,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1379,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1380,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1381,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1382,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1383,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1384,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1400,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1401,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1407,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1413,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1414,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1417,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1418,"20200728",2,263,270,263,270,700,0,0,0,0,4,0,1.019,5
1419,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1420,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1429,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1430,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1431,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1433,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1434,"20200728",2,470,470,470,470,500,0,0,0,0,4,0,1.002,1
1435,"20200728",2,160.1,160.1,159.9,159.9,300,0,0,0,0,2,0,0.993,-1.1
1436,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1438,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1439,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1443,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1444,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1446,"20200728",2,577,577,577,577,100,0,0,0,0,4,0,1.027,15
1491,"20200728",2,20.2,20.8,20,20.6,231500,0,0,0,0,4,0,1.03,0.6
1514,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1515,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1518,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1605,"20200728",2,660,662.8,657,662.8,7300,0,0,0,0,4,0,1.006,3.7
1662,"20200728",2,1808.5,1808.5,1808.5,1808.5,100,0,0,0,0,2,0,0.99,-17.5
1663,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1711,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1712,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1716,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1717,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1718,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1719,"20200728",2,595,595,589,589.9,2200,0,0,0,0,2,0,0.99,-6.1
1720,"20200728",2,531.9,531.9,526.1,527.1,2100,0,0,0,0,2,0,0.98,-10.9
1721,"20200728",2,3181,3189,3165.5,3165.5,500,0,0,0,0,2,0,0.986,-44.5
1723,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1724,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1726,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1728,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1730,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1734,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1736,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1737,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1738,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1739,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1743,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1757,"20200728",2,89,90.1,85.1,87.8,118900,0,0,0,0,2,0,0.987,-1.2
1758,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1762,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1764,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1766,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1768,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
1770,"20200728",2,0,0,0,0,0,0,0,0,0,1,0,0,0
