"n_tubuyaki_id","n_meigaraid","s_userid","s_tubuyaki_nitiji","s_tubuyaki","s_tubuyakiurl","n_followersuu","n_neugokikbn","d_one_neugoki_eikyousisuu","d_all_neugoki_eikyousisuu","n_kousin_jyoukyou_kbn"
1,1301,"@gyakuhibu","2020-07-28 01:4","7/27 逆日歩日数 1日[改行][改行]1301 極洋 0.05円[改行]1308 上場インデックスファンドTOPIX 0.05円[改行]1320 ダイワ 上場投信-日経225 5.00円[改行]1321 日経225連動型上場投資信託 5.00円[改行]1323 (NEXT FUNDS)南アフリカ株式指数上場投信 0.05円[改行]1324 (NEXT FUNDS)ロシア株式指数上場投信 0.05円","https://twitter.com/gyakuhibu/status/1287926001364697090",3656,2,0,0,2
2,1301,"@PxmuMo","2020-07-27 21:1","RT : Huluでやってる山P出てる南極洋ドラ薄暗くておもしろかった。全体的にダウナー系なのでスン…てなるけど…。","https://twitter.com/PxmuMo/status/1287859003658141696",36,2,0,0,2
3,1332,"@okukaitrkabutr","2020-07-28 04:4","1332 日本水産(株)[改行]売りですね","https://twitter.com/okukaitrkabutr/status/1287971105827889155",16,4,0,0,2
4,1333,"@mnCP_official","2020-07-28 06:0","／[改行][改行]オフィシャルスポンサーキャンペーン[改行]開始まであと４日！[改行]＼[改行][改行]8/14、8/15、8/16の[改行] シリーズ試合を記念して、[改行]素敵なプレゼントがもらえるかも？！[改行][改行] 応援しよう！[改行] ","https://twitter.com/mnCP_official/status/1287991173768818689",64116,4,0,0,2
5,1333,"@mnCP_official","2020-07-25 06:0","／[改行][改行]オフィシャルスポンサーキャンペーン[改行]開始まであと７日！[改行]＼[改行][改行]8/14、8/15、8/16の[改行] シリーズ試合を記念して、[改行]素敵なプレゼントがもらえるかも？！[改行][改行] 応援しよう！[改行] ","https://twitter.com/mnCP_official/status/1286904010163666944",64116,4,0,0,2
6,1333,"@FXhikaku","2020-07-28 13:1","RT : 冷凍ピザの中で 1枚あたり炭水化物 26.4gと結構低かったので買ってみた。[改行]うす焼きミックスピザ｜マルハニチロの冷凍食品 ","https://twitter.com/FXhikaku/status/1288101257509363712",13540,4,0,0,2
7,1352,"@kanken_jyun1_5","2020-07-28 10:5","b862.昆布をホウスイする","https://twitter.com/kanken_jyun1_5/status/1288064844692770816",5,2,0,0,2
8,1352,"@Ti8b79gKxieybRk","2020-07-28 07:4","無事ホウスイ3ついたー[改行]今日早出しないけん終わればつけれる[改行]明日の明細朝流れてくるけど最初と最後わかるからなんかなしわかるかな[改行]ヨコレイ伊勢原まちがわんよーにきいとこ！とりあえずつけれたら飲むかいね","https://twitter.com/Ti8b79gKxieybRk/status/1288017869381328897",87,2,0,0,2
9,1352,"@kanken_jyun1_5","2020-07-25 15:5","b862.昆布をホウスイする","https://twitter.com/kanken_jyun1_5/status/1287053170913370114",5,2,0,0,2
10,1376,"@akagidanibuki","2020-07-28 03:2","RT : あかぎ団 mai[改行]リリイベ [改行]カネコ種苗 ぐんまフラワーパーク [改行]水上ステージ[改行][改行] [改行] [改行] ","https://twitter.com/akagidanibuki/status/1287952552294625281",127,4,0,0,2
