"n_tango_id","s_tango","s_hinsikbn_1","s_hinsikbn_2","s_hinsikbn_3","s_hinsikbn_4","d_eikyoudo_age","d_eikyoudo_sage","n_update_cnt","n_eikyou_musi_flg"
3661,"7","名詞","数","*","*",261,224,217,1
3662,"/","名詞","サ変接続","*","*",312,142,224,1
3663,"27","名詞","数","*","*",75,45,54,1
3664," ","記号","空白","*","*",0,0,812,1
3665,"逆","接頭詞","名詞接続","*","*",390,342,258,0
3666,"日歩","名詞","一般","*","*",105,39,69,1
3667,"日数","名詞","一般","*","*",111,60,78,1
3668,"1","名詞","数","*","*",222,244,215,1
3669,"日","名詞","接尾","助数詞","*",363,406,314,1
3670,"◆","記号","一般","*","*",0,0,644,1
3672,"極洋","名詞","固有名詞","組織","*",6,18,19,1
3673,"0","名詞","数","*","*",633,365,419,1
3674,".","名詞","サ変接続","*","*",0,0,157,1
3675,"05","名詞","数","*","*",372,96,199,1
3676,"円","名詞","接尾","助数詞","*",708,357,490,1
3678,"上場","名詞","サ変接続","*","*",87,141,143,1
3684,"投信","名詞","一般","*","*",63,99,105,1
3685,"-","名詞","サ変接続","*","*",291,232,223,1
3686,"日経","名詞","固有名詞","組織","*",24,81,72,1
3688,"5","名詞","数","*","*",123,230,186,1
3689,"00","名詞","数","*","*",108,240,166,1
3691,"連動","名詞","サ変接続","*","*",33,41,29,0
3692,"型","名詞","接尾","一般","*",15,18,18,1
3693,"投資","名詞","サ変接続","*","*",48,62,53,1
3694,"信託","名詞","サ変接続","*","*",6,9,10,1
3696,"(","名詞","サ変接続","*","*",363,297,295,1
3699,")","名詞","サ変接続","*","*",261,201,219,1
3701,"株式","名詞","一般","*","*",39,98,60,1
3702,"指数","名詞","一般","*","*",15,38,28,1
3705,"RT","名詞","固有名詞","組織","*",282,183,214,1
3706,":","名詞","サ変接続","*","*",315,456,323,1
3708,"で","助詞","格助詞","一般","*",465,400,397,1
3709,"やる","動詞","自立","*","*",9,36,22,1
3710,"てる","動詞","非自立","*","*",141,180,157,1
3711,"山","名詞","一般","*","*",3,9,9,1
3712,"P","名詞","一般","*","*",6,30,18,1
3713,"出る","動詞","自立","*","*",27,12,24,1
3714,"南","名詞","一般","*","*",15,37,22,1
3715,"ドラ","名詞","一般","*","*",3,9,9,1
3717,"て","助詞","接続助詞","*","*",0,0,100,1
3719,"た","助動詞","*","*","*",0,0,107,1
3720,"。","記号","句点","*","*",0,0,118,1
3721,"全体","名詞","副詞可能","*","*",3,12,10,1
3722,"的","名詞","接尾","形容動詞語幹","*",33,48,45,1
3723,"に","助詞","副詞化","*","*",630,504,509,1
3725,"系","名詞","接尾","一般","*",81,100,64,0
3726,"だ","助動詞","*","*","*",480,274,356,1
3727,"ので","助詞","接続助詞","*","*",78,22,57,1
3728,"スン","名詞","一般","*","*",3,9,9,1
3729,"…","記号","一般","*","*",354,228,284,1
3730,"なる","動詞","自立","*","*",117,71,91,1
3731,"けど","助詞","接続助詞","*","*",81,58,74,1
3733,"日本","名詞","固有名詞","地域","国",123,86,100,1
3734,"水産","名詞","一般","*","*",15,0,8,1
3735,"株","名詞","一般","*","*",132,132,144,1
3736,")◆","名詞","サ変接続","*","*",54,33,33,1
3737,"売る","動詞","自立","*","*",24,16,15,1
3738,"です","助動詞","*","*","*",225,99,172,1
3739,"ね","助詞","終助詞","*","*",93,115,100,1
3740,"／","記号","一般","*","*",45,39,40,1
3742,"開始","名詞","サ変接続","*","*",60,197,90,0
3743,"まで","助詞","副助詞","*","*",48,21,37,1
3744,"あと","名詞","一般","*","*",33,21,27,1
3745,"４","名詞","数","*","*",33,0,15,1
3746,"！","記号","一般","*","*",348,135,241,1
3747,"＼","記号","一般","*","*",27,6,20,1
3748,"8","名詞","数","*","*",117,97,107,1
3749,"14","名詞","数","*","*",42,31,32,1
3750,"、","記号","読点","*","*",3,0,168,1
3751,"15","名詞","数","*","*",132,183,125,1
3752,"16","名詞","数","*","*",42,87,55,1
3753,"の","助詞","連体化","*","*",3,0,264,1
3755,"試合","名詞","サ変接続","*","*",39,86,43,0
3756,"を","助詞","格助詞","一般","*",531,395,421,1
3757,"記念","名詞","サ変接続","*","*",39,71,38,0
3758,"する","動詞","自立","*","*",3,0,100,1
3759,"素敵","名詞","形容動詞語幹","*","*",45,85,46,0
3761,"が","助詞","格助詞","一般","*",3,0,105,1
3763,"かも","助詞","副助詞","*","*",27,15,24,1
3764,"？","記号","一般","*","*",144,92,116,1
3765,"応援","名詞","サ変接続","*","*",27,0,17,1
3766,"う","助動詞","*","*","*",114,27,78,1
3767,"７","名詞","数","*","*",66,39,41,1
3768,"冷凍","名詞","サ変接続","*","*",21,0,15,1
3769,"ピザ","名詞","一般","*","*",21,0,15,1
3770,"中","名詞","非自立","副詞可能","*",21,27,20,1
3771,"枚","名詞","接尾","助数詞","*",30,0,16,1
3774,"26","名詞","数","*","*",12,0,7,1
3775,"4","名詞","数","*","*",60,55,44,1
3776,"g","名詞","固有名詞","組織","*",12,0,7,1
3777,"と","助詞","格助詞","一般","*",387,343,340,1
3778,"結構","副詞","一般","*","*",15,22,14,0
3779,"低い","形容詞","自立","*","*",15,0,8,1
3780,"買う","動詞","自立","*","*",130,215,116,0
3781,"みる","動詞","非自立","*","*",42,33,43,1
3784,"｜","記号","一般","*","*",24,0,11,1
3786,"食品","名詞","一般","*","*",15,55,24,0
3787,"b","名詞","一般","*","*",0,27,17,1
3789,"昆布","名詞","一般","*","*",0,27,17,1
3791,"無事","名詞","形容動詞語幹","*","*",0,15,8,1
3792,"3","名詞","数","*","*",63,46,48,1
3793,"つく","動詞","自立","*","*",3,15,9,1
3794,"ー","名詞","一般","*","*",3,24,12,1
3795,"今日","名詞","副詞可能","*","*",27,30,27,1
3796,"早出","名詞","サ変接続","*","*",0,15,8,1
3797,"ない","助動詞","*","*","*",288,225,244,1
3798,"け","助詞","終助詞","*","*",0,15,8,1
3799,"ん","名詞","非自立","一般","*",135,80,93,1
3801,"ば","助詞","接続助詞","*","*",27,27,31,1
3803,"れる","動詞","接尾","*","*",129,141,126,1
3804,"明日","名詞","副詞可能","*","*",15,36,28,1
3805,"明細","名詞","一般","*","*",0,15,8,1
3806,"朝","名詞","副詞可能","*","*",6,15,10,1
3808,"くる","動詞","非自立","*","*",69,33,61,1
3809,"最初","名詞","一般","*","*",0,15,8,1
3810,"最後","名詞","一般","*","*",0,15,8,1
3812,"から","助詞","接続助詞","*","*",168,180,161,1
3814,"か","助詞","副助詞／並立助詞／終","*","*",150,85,116,1
3815,"な","助詞","終助詞","*","*",93,36,68,1
3819,"よー","助詞","終助詞","*","*",0,15,8,1
3822,"飲む","動詞","自立","*","*",18,61,26,0
3823,"かい","名詞","非自立","一般","*",0,15,8,1
3824,"あ","感動詞","*","*","*",27,9,22,1
3825,"かぎ","名詞","一般","*","*",27,0,17,1
3826,"団","名詞","接尾","一般","*",36,0,20,1
3833,"水上","名詞","固有名詞","人名","姓",27,0,17,1
3835,"緑","名詞","一般","*","*",57,0,25,0
3837,"赤","名詞","一般","*","*",21,3,11,0
3838,"どの","連体詞","*","*","*",15,0,8,1
3839,"色","名詞","一般","*","*",39,8,23,0
3840,"収穫","名詞","サ変接続","*","*",27,0,17,1
3841,"も","助詞","係助詞","*","*",159,181,142,1
3842,"良い","形容詞","非自立","*","*",68,131,61,0
3845,"は","助詞","係助詞","*","*",519,448,426,1
3847,"弱る","動詞","自立","*","*",15,0,8,1
3848,"よう","名詞","非自立","助動詞語幹","*",33,36,28,1
3849,"ます","助動詞","*","*","*",477,106,260,1
