"n_tango_id","s_rirekiymd","d_eikyoudo_age","d_eikyoudo_sage","n_update_cnt"
1,"20200729",0,0,145
2,"20200729",0,0,131
3,"20200729",0,0,36
4,"20200729",0,0,2245
5,"20200729",0,0,45
6,"20200729",0,0,44
7,"20200729",0,0,50
8,"20200729",0,0,139
9,"20200729",0,0,199
10,"20200729",0,0,1751
11,"20200729",0,0,2
12,"20200729",0,0,5
13,"20200729",0,0,304
14,"20200729",0,0,487
15,"20200729",0,0,145
16,"20200729",0,0,335
17,"20200729",0,0,2
18,"20200729",0,0,70
19,"20200729",0,0,10
20,"20200729",0,0,10
21,"20200729",0,0,4
22,"20200729",0,0,2
23,"20200729",0,0,11
24,"20200729",0,0,50
25,"20200729",0,0,140
26,"20200729",0,0,32
27,"20200729",0,0,5
28,"20200729",0,0,106
29,"20200729",0,0,101
30,"20200729",0,0,2
31,"20200729",0,0,5
32,"20200729",0,0,9
33,"20200729",0,0,29
34,"20200729",0,0,3
35,"20200729",0,0,2
36,"20200729",0,0,182
37,"20200729",0,0,25
38,"20200729",0,0,25
39,"20200729",0,0,126
40,"20200729",0,0,2
41,"20200729",0,0,37
42,"20200729",0,0,12
43,"20200729",0,0,2
44,"20200729",0,0,6
45,"20200729",0,0,132
46,"20200729",0,0,211
47,"20200729",0,0,2
48,"20200729",0,0,254
49,"20200729",0,0,10
50,"20200729",0,0,89
51,"20200729",0,0,2
52,"20200729",0,0,8
53,"20200729",0,0,9
54,"20200729",0,0,14
55,"20200729",0,0,2
56,"20200729",0,0,2
57,"20200729",0,0,237
58,"20200729",0,0,3
59,"20200729",0,0,323
60,"20200729",0,0,378
61,"20200729",0,0,3
62,"20200729",0,0,23
63,"20200729",0,0,336
64,"20200729",0,0,2
65,"20200729",0,0,11
66,"20200729",0,0,216
67,"20200729",0,0,26
68,"20200729",0,0,2
69,"20200729",0,0,173
70,"20200729",0,0,53
71,"20200729",0,0,36
72,"20200729",0,0,2
73,"20200729",0,0,60
74,"20200729",0,0,2
75,"20200729",0,0,80
76,"20200729",0,0,22
77,"20200729",0,0,9
78,"20200729",0,0,92
79,"20200729",0,0,53
80,"20200729",0,0,24
81,"20200729",0,0,5
82,"20200729",0,0,16
83,"20200729",0,0,18
84,"20200729",0,0,12
85,"20200729",0,0,7
86,"20200729",0,0,148
87,"20200729",0,0,7
88,"20200729",0,0,57
89,"20200729",0,0,17
90,"20200729",0,0,535
91,"20200729",0,0,84
92,"20200729",0,0,30
93,"20200729",0,0,731
94,"20200729",0,0,10
95,"20200729",0,0,5
96,"20200729",0,0,268
97,"20200729",0,0,5
98,"20200729",0,0,292
99,"20200729",0,0,7
100,"20200729",0,0,6
101,"20200729",0,0,303
102,"20200729",0,0,5
103,"20200729",0,0,10
104,"20200729",0,0,64
105,"20200729",0,0,5
106,"20200729",0,0,38
107,"20200729",0,0,25
108,"20200729",0,0,3
109,"20200729",0,0,3
110,"20200729",0,0,13
111,"20200729",0,0,7
112,"20200729",0,0,3
113,"20200729",0,0,1
114,"20200729",0,0,1
115,"20200729",0,0,28
116,"20200729",0,0,1
117,"20200729",0,0,213
118,"20200729",0,0,2
119,"20200729",0,0,2
120,"20200729",0,0,26
121,"20200729",0,0,18
122,"20200729",0,0,1
123,"20200729",0,0,1
124,"20200729",0,0,5
125,"20200729",0,0,2
126,"20200729",0,0,2
127,"20200729",0,0,5
128,"20200729",0,0,5
129,"20200729",0,0,5
130,"20200729",0,0,8
131,"20200729",0,0,2
132,"20200729",0,0,30
133,"20200729",0,0,3
134,"20200729",0,0,5
135,"20200729",0,0,15
136,"20200729",0,0,2
137,"20200729",0,0,141
138,"20200729",0,0,2
139,"20200729",0,0,57
140,"20200729",0,0,7
141,"20200729",0,0,13
142,"20200729",0,0,6
143,"20200729",0,0,75
144,"20200729",0,0,13
145,"20200729",0,0,2
146,"20200729",0,0,4
147,"20200729",0,0,4
148,"20200729",0,0,27
149,"20200729",0,0,2
150,"20200729",0,0,2
151,"20200729",0,0,7
152,"20200729",0,0,101
153,"20200729",0,0,6
154,"20200729",0,0,64
155,"20200729",0,0,37
156,"20200729",0,0,2
157,"20200729",0,0,2
158,"20200729",0,0,2
159,"20200729",0,0,2
160,"20200729",0,0,2
161,"20200729",0,0,4
162,"20200729",0,0,5
163,"20200729",0,0,2
164,"20200729",0,0,8
165,"20200729",0,0,5
166,"20200729",0,0,8
167,"20200729",0,0,5
168,"20200729",0,0,5
169,"20200729",0,0,5
170,"20200729",0,0,5
171,"20200729",0,0,5
172,"20200729",0,0,5
173,"20200729",0,0,5
174,"20200729",0,0,5
175,"20200729",0,0,8
176,"20200729",0,0,2
177,"20200729",0,0,2
178,"20200729",0,0,2
179,"20200729",0,0,5
180,"20200729",0,0,5
181,"20200729",0,0,89
182,"20200729",0,0,11
183,"20200729",0,0,6
184,"20200729",0,0,5
185,"20200729",0,0,278
186,"20200729",0,0,2
187,"20200729",0,0,2
188,"20200729",0,0,19
189,"20200729",0,0,173
190,"20200729",0,0,2
191,"20200729",0,0,2
192,"20200729",0,0,4
193,"20200729",0,0,5
194,"20200729",0,0,3
195,"20200729",0,0,2
196,"20200729",0,0,2
197,"20200729",0,0,2
198,"20200729",0,0,2
199,"20200729",0,0,6
200,"20200729",0,0,12
201,"20200729",0,0,2
202,"20200729",0,0,3
203,"20200729",0,0,19
204,"20200729",0,0,16
205,"20200729",0,0,3
206,"20200729",0,0,8
207,"20200729",0,0,4
208,"20200729",0,0,66
209,"20200729",0,0,35
210,"20200729",0,0,3
211,"20200729",0,0,5
212,"20200729",0,0,6
213,"20200729",0,0,8
214,"20200729",0,0,10
215,"20200729",0,0,3
216,"20200729",0,0,2
217,"20200729",0,0,22
218,"20200729",0,0,6
219,"20200729",0,0,12
220,"20200729",0,0,12
221,"20200729",0,0,11
222,"20200729",0,0,24
223,"20200729",0,0,5
224,"20200729",0,0,5
225,"20200729",0,0,13
226,"20200729",0,0,1
227,"20200729",0,0,2
228,"20200729",0,0,10
229,"20200729",0,0,7
230,"20200729",0,0,1
231,"20200729",0,0,1
232,"20200729",0,0,2
233,"20200729",0,0,5
234,"20200729",0,0,8
235,"20200729",0,0,1
236,"20200729",0,0,1
237,"20200729",0,0,6
238,"20200729",0,0,3
239,"20200729",0,0,1
240,"20200729",0,0,4
241,"20200729",0,0,3
242,"20200729",0,0,1
243,"20200729",0,0,1
244,"20200729",0,0,2
245,"20200729",0,0,2
246,"20200729",0,0,4
247,"20200729",0,0,8
248,"20200729",0,0,2
249,"20200729",0,0,3
250,"20200729",0,0,1
251,"20200729",0,0,1
252,"20200729",0,0,12
